month,member_casual,number_of_rides,,
1,casual,24740,,
1,member,113042,,
2,casual,41173,,
2,member,160281,Row Labels,Sum of number_of_rides
3,casual,87850,1,137782
3,member,229165,casual,24740
4,casual,131526,member,113042
4,member,316761,2,201454
5,casual,245143,casual,41173
5,member,408604,member,160281
6,casual,308485,3,317015
6,member,454089,casual,87850
7,casual,323352,member,229165
7,member,440106,4,448287
8,casual,337878,casual,131526
8,member,452439,member,316761
9,casual,265268,5,653747
9,member,449294,casual,245143
10,casual,224038,member,408604
10,member,422058,6,762574
11,casual,99091,casual,308485
11,member,257421,member,454089
12,casual,28090,7,763458
12,member,112455,casual,323352
,,,member,440106
,,,8,790317
,,,casual,337878
,,,member,452439
,,,9,714562
,,,casual,265268
,,,member,449294
,,,10,646096
,,,casual,224038
,,,member,422058
,,,11,356512
,,,casual,99091
,,,member,257421
,,,12,140545
,,,casual,28090
,,,member,112455
,,,Grand Total,5932349
